file,threads,n,time
mpi_primos,8,10000000,0.550
mpi_primosbag,8,10000000,0.411
mpi_primosbag_isend_irecv,8,10000000,0.369
mpi_primosbag_isend_recv,8,10000000,0.424
mpi_primosbag_send_irecv,8,10000000,0.397
mpi_primosbag_send_recv,8,10000000,0.370
mpi_primosbag_ssend_irecv,8,10000000,0.418
mpi_primosbag_ssend_recv,8,10000000,0.362
mpi_primos_isend_irecv,8,10000000,0.547
mpi_primos_isend_recv,8,10000000,0.542
mpi_primos_rsend_irecv,8,10000000,0.552
mpi_primos_rsend_recv,8,10000000,0.556
mpi_primos_send_irecv,8,10000000,0.544
mpi_primos_send_recv,8,10000000,0.542
mpi_primos_ssend_irecv,8,10000000,0.539
mpi_primos_ssend_recv,8,10000000,0.548
mpi_primos,8,100000000,14.495
mpi_primosbag,8,100000000,8.814
mpi_primosbag_isend_irecv,8,100000000,8.824
mpi_primosbag_isend_recv,8,100000000,8.798
mpi_primosbag_send_irecv,8,100000000,8.885
mpi_primosbag_send_recv,8,100000000,8.790
mpi_primosbag_ssend_irecv,8,100000000,8.846
mpi_primosbag_ssend_recv,8,100000000,8.835
mpi_primos_isend_irecv,8,100000000,14.510
mpi_primos_isend_recv,8,100000000,14.534
mpi_primos_rsend_irecv,8,100000000,14.538
mpi_primos_rsend_recv,8,100000000,14.529
mpi_primos_send_irecv,8,100000000,14.531
mpi_primos_send_recv,8,100000000,14.503
mpi_primos_ssend_irecv,8,100000000,14.525
mpi_primos_ssend_recv,8,100000000,14.545
mpi_primos,8,1000000000,394.618
mpi_primosbag,8,1000000000,236.067
mpi_primosbag_isend_irecv,8,1000000000,236.132
mpi_primosbag_isend_recv,8,1000000000,236.033
mpi_primosbag_send_irecv,8,1000000000,236.056
mpi_primosbag_send_recv,8,1000000000,236.045
mpi_primosbag_ssend_irecv,8,1000000000,235.882
mpi_primosbag_ssend_recv,8,1000000000,235.998
mpi_primos_isend_irecv,8,1000000000,394.518
mpi_primos_isend_recv,8,1000000000,395.584
mpi_primos_rsend_irecv,8,1000000000,395.178
mpi_primos_rsend_recv,8,1000000000,394.871
mpi_primos_send_irecv,8,1000000000,395.093
mpi_primos_send_recv,8,1000000000,394.640
mpi_primos_ssend_irecv,8,1000000000,397.459
mpi_primos_ssend_recv,8,1000000000,397.447
